  sid  | stid | category 
  9842 |   23 | HOP
  9843 |   23 | ANG
  9844 |   23 | NEU
  9845 |   23 | COM
  9846 |   23 | HOP
  9847 |   23 | NEU
  9848 |   23 | ANG
  9849 |   23 | COM
  9850 |   23 | HOP
  9851 |   23 | NEU
  9852 |   23 | ANG
  9853 |   23 | COM
  9854 |   23 | HOP
  9855 |   23 | NEU
  9856 |   23 | COM
  9857 |   23 | ANG
  9859 |   23 | NEU
  9860 |   23 | ANG
  9862 |   23 | HOP
  9863 |   23 | NEU
  9864 |   23 | ANG
  9865 |   23 | COM
  9868 |   23 | NEU
  9870 |   23 | ANG
  9872 |   23 | COM
  9875 |   23 | NEU
  9876 |   23 | ANG
  9877 |   23 | COM
  9878 |   23 | HOP
  9879 |   23 | NEU
  9880 |   23 | ANG
  9881 |   23 | COM
  9882 |   23 | COM
  9883 |   23 | HOP
  9884 |   23 | NEU
  9885 |   23 | ANG
  9892 |   23 | ANG
  9893 |   23 | COM
  9894 |   23 | HOP
  9895 |   23 | NEU
  9897 |   23 | ANG
  9898 |   23 | COM
  9899 |   23 | HOP
  9900 |   23 | NEU
  9901 |   23 | ANG
  9902 |   23 | COM
  9903 |   23 | HOP
  9904 |   23 | HOP
  9905 |   23 | NEU
  9906 |   23 | ANG
  9907 |   23 | COM
  9908 |   23 | NEU
  9909 |   23 | ANG
  9910 |   23 | COM
  9912 |   23 | HOP
  9914 |   23 | NEU
  9915 |   23 | ANG
  9916 |   23 | COM
  9917 |   23 | HOP
  9919 |   23 | ANG
  9920 |   23 | COM
  9922 |   23 | HOP
  9923 |   23 | NEU
  9924 |   23 | ANG
  9926 |   23 | COM
  9928 |   23 | HOP
  9932 |   23 | NEU
  9934 |   23 | ANG
  9935 |   23 | COM
  9936 |   23 | HOP
  9937 |   23 | NEU
  9938 |   23 | ANG
  9939 |   23 | COM
  9941 |   23 | HOP
  9943 |   23 | ANG
  9944 |   23 | NEU
  9947 |   23 | HOP
  9949 |   23 | COM
  9950 |   23 | NEU
  9952 |   23 | ANG
  9954 |   23 | HOP
  9955 |   23 | NEU
  9956 |   23 | ANG
  9957 |   23 | COM
  9959 |   23 | HOP
  9960 |   23 | NEU
  9961 |   23 | ANG
  9962 |   23 | COM
  9964 |   23 | HOP
  9965 |   23 | NEU
  9966 |   23 | NEU
  9967 |   23 | ANG
  9968 |   23 | COM
  9969 |   23 | HOP
  9970 |   23 | ANG
  9971 |   23 | HOP
  9972 |   23 | COM
  9976 |   23 | NEU
  9978 |   23 | COM
  9984 |   23 | ANG
  9988 |   23 | COM
  9989 |   23 | HOP
  9994 |   23 | NEU
  9995 |   23 | ANG
 10000 |   23 | COM
 10003 |   23 | HOP
 10005 |   23 | NEU
 10010 |   23 | COM
 10021 |   23 | HOP
 10023 |   23 | NEU
 10024 |   23 | ANG
 10026 |   23 | NEU
 10028 |   23 | COM
 10031 |   23 | NEU
 10033 |   23 | ANG
 10034 |   23 | HOP
 10035 |   23 | COM
 10036 |   23 | NEU
 10038 |   23 | ANG
 10040 |   23 | COM
 10041 |   23 | HOP
 10042 |   23 | HOP
 10044 |   23 | NEU
 10047 |   23 | ANG

