sid,stid,name,ord,opt
7333,23,donation-aim-pl,0,2
7333,23,donation-aim-pl,1,3
7334,23,donation-aim-pl,0,0
7334,23,donation-aim-pl,1,0
7336,23,donation-aim-pl,0,0
7336,23,donation-aim-pl,1,2
7337,23,donation-aim-pl,0,1
7337,23,donation-aim-pl,1,0
7339,23,donation-aim-pl,0,1
7339,23,donation-aim-pl,1,0
7341,23,donation-aim-pl,0,1
7341,23,donation-aim-pl,1,1
7342,23,donation-aim-pl,0,0
7342,23,donation-aim-pl,1,0
7344,23,donation-aim-pl,0,2
7344,23,donation-aim-pl,1,1
7345,23,donation-aim-pl,0,1
7345,23,donation-aim-pl,1,0
7346,23,donation-aim-pl,0,2
7346,23,donation-aim-pl,1,0
7347,23,donation-aim-pl,0,1
7347,23,donation-aim-pl,1,2
7348,23,donation-aim-pl,0,1
7348,23,donation-aim-pl,1,1
7349,23,donation-aim-pl,0,1
7349,23,donation-aim-pl,1,2
7350,23,donation-aim-pl,0,0
7350,23,donation-aim-pl,1,2
7351,23,donation-aim-pl,0,1
7351,23,donation-aim-pl,1,2
7352,23,donation-aim-pl,0,1
7352,23,donation-aim-pl,1,2
7354,23,donation-aim-pl,0,1
7354,23,donation-aim-pl,1,1
7355,23,donation-aim-pl,0,1
7355,23,donation-aim-pl,1,1
7357,23,donation-aim-pl,0,1
7357,23,donation-aim-pl,1,1
7361,23,donation-aim-pl,0,1
7361,23,donation-aim-pl,1,1
7362,23,donation-aim-pl,0,1
7362,23,donation-aim-pl,1,1
7363,23,donation-aim-pl,0,1
7363,23,donation-aim-pl,1,1
7365,23,donation-aim-pl,0,2
7365,23,donation-aim-pl,1,2
7366,23,donation-aim-pl,0,1
7366,23,donation-aim-pl,1,1
7367,23,donation-aim-pl,0,1
7367,23,donation-aim-pl,1,2
7368,23,donation-aim-pl,0,0
7368,23,donation-aim-pl,1,2
7370,23,donation-aim-pl,0,0
7370,23,donation-aim-pl,1,2
7371,23,donation-aim-pl,0,1
7371,23,donation-aim-pl,1,0
7372,23,donation-aim-pl,0,2
7372,23,donation-aim-pl,1,2
7373,23,donation-aim-pl,0,3
7374,23,donation-aim-pl,0,1
7374,23,donation-aim-pl,1,1
7375,23,donation-aim-pl,0,0
7375,23,donation-aim-pl,1,0
7376,23,donation-aim-pl,0,3
7378,23,donation-aim-pl,0,1
7378,23,donation-aim-pl,1,1
7379,23,donation-aim-pl,0,2
7379,23,donation-aim-pl,1,2
7380,23,donation-aim-pl,0,0
7380,23,donation-aim-pl,1,2
7381,23,donation-aim-pl,0,2
7381,23,donation-aim-pl,1,3
7382,23,donation-aim-pl,0,2
7382,23,donation-aim-pl,1,2
7383,23,donation-aim-pl,0,2
7383,23,donation-aim-pl,1,2
7384,23,donation-aim-pl,0,0
7384,23,donation-aim-pl,1,2
7385,23,donation-aim-pl,0,1
7385,23,donation-aim-pl,1,1
7386,23,donation-aim-pl,0,1
7386,23,donation-aim-pl,1,1
7387,23,donation-aim-pl,0,3
7388,23,donation-aim-pl,0,1
7388,23,donation-aim-pl,1,1
7390,23,donation-aim-pl,0,3
7391,23,donation-aim-pl,0,1
7391,23,donation-aim-pl,1,1
7392,23,donation-aim-pl,0,0
7392,23,donation-aim-pl,1,2
7393,23,donation-aim-pl,0,2
7393,23,donation-aim-pl,1,1
7394,23,donation-aim-pl,0,1
7394,23,donation-aim-pl,1,1
7395,23,donation-aim-pl,0,1
7395,23,donation-aim-pl,1,0
7396,23,donation-aim-pl,0,0
7396,23,donation-aim-pl,1,2
7397,23,donation-aim-pl,0,2
7397,23,donation-aim-pl,1,2
7398,23,donation-aim-pl,0,2
7398,23,donation-aim-pl,1,1
7399,23,donation-aim-pl,0,0
7399,23,donation-aim-pl,1,0
7400,23,donation-aim-pl,0,3
7401,23,donation-aim-pl,0,0
7401,23,donation-aim-pl,1,3
7402,23,donation-aim-pl,0,0
7402,23,donation-aim-pl,1,1
