 sid  | stid | category | ord | mh | fh 
 7052 |   23 | ANG      |   5 |  0 |  0
 7467 |   23 | ANG      |   8 |  2 |  0
 7052 |   23 | ANG      |   6 |  0 |  0
 7052 |   23 | ANG      |   7 |  0 |  0
 7467 |   23 | ANG      |   7 |  0 |  0
 7052 |   23 | ANG      |   8 |  0 |  0
 7502 |   23 | ANG      |  12 |  0 |  0
 7052 |   23 | ANG      |   9 |  0 |  0
 7502 |   23 | ANG      |  11 |  0 |  0
 7052 |   23 | ANG      |  10 |  0 |  0
 7052 |   23 | ANG      |  11 |  1 |  0
 7467 |   23 | ANG      |   6 |  0 |  0
 7467 |   23 | ANG      |   5 |  2 |  0
 7052 |   23 | ANG      |  12 |  0 |  0
 7317 |   23 | ANG      |   3 |  0 |  0
 7052 |   23 | ANG      |  13 |  0 |  0
 6906 |   23 | ANG      |   0 |  1 |  0
 6906 |   23 | ANG      |   1 |  1 |  0
 7467 |   23 | ANG      |   4 |  0 |  0
 6906 |   23 | ANG      |   2 |  0 |  0
 7022 |   23 | ANG      |   0 |  2 |  0
 7052 |   23 | ANG      |  14 |  0 |  0
 6906 |   23 | ANG      |   3 |  1 |  0
 7467 |   23 | ANG      |   3 |  0 |  0
 7022 |   23 | ANG      |   1 |  1 |  0
 6906 |   23 | ANG      |   4 |  2 |  0
 7022 |   23 | ANG      |   2 |  1 |  0
 7178 |   23 | ANG      |   0 |  0 |  0
 7022 |   23 | ANG      |   3 |  0 |  0
 7178 |   23 | ANG      |   1 |  0 |  0
 7022 |   23 | ANG      |   4 |  0 |  0
 7317 |   23 | ANG      |   4 |  0 |  0
 7178 |   23 | ANG      |   2 |  0 |  0
 7022 |   23 | ANG      |   5 |  0 |  0
 7178 |   23 | ANG      |   3 |  0 |  0
 7631 |   23 | ANG      |  14 |  0 |  0
